O=C1NC(Cc2ccncc2)C(=O)N1c1ccc(-c2ccccc2)cc1,Z1868701598
Cl.NC1(C(F)(F)F)CC2CCC1CC2,Z3326216013
CCc1nnc(C2CC(O)CN2C(=O)C(C)OC2CCCCCC2)o1,Z1753994980
CC=C(C)c1nc(-c2cccc(CN3CCOCC3)c2)no1,Z1460272368
Cc1nnc(C2CC(O)CN2c2nc(C(C)(C)C)ns2)o1,Z1754397301
CN(C(=O)c1ccc(C(=O)O)cn1)C1CCN(CC(F)(F)F)C1=O,Z1869597872
Cc1ccc(-n2nc(C)cc2NC(=O)c2ccc(Cl)cc2Cl)nn1,Z1357270956
COc1cccc(C2=CCN(C(=O)c3cc4n(n3)CCCO4)C2)c1,Z1870350656
COc1ccc(CC(=O)O)cc1S(=O)(=O)Nc1cnoc1C,Z1465393025
Cc1cnc(NC(=O)N2CC(O)C(O)C2)s1,Z1874755169
Cc1c(NC(=O)C(c2ccccc2)n2cnc3ccccc32)cnn1-c1ccccc1,Z1471669377
CCOC(=O)c1c(C)[nH]c(C(=O)Nc2ccc(Sc3ccncc3)cc2)c1C,Z1471667561
CCN1CCCC(NC(=O)N2CCCN(C(=O)CCc3ccccc3)CC2)C1,Z1364048099
O=C(NC1CCC2(CC1)OCCO2)NC1CC1c1ccc2ccccc2c1,Z1975830525
CC(C)C(=O)NCC1CCCN(C(=O)Nc2cccn(C)c2=O)C1,Z1277987789
CC(C)=CCCC1(C)NC(=O)N(Cc2ccn(-c3ccccc3F)n2)C1=O,Z1778710830
CC1CCN(CC2CCCN(C(=O)Nc3cnn(CC4CC4)c3)C2)CC1,Z1278522384
O=C(O)c1ccccc1C1CCN(C(=O)C2CCCOC2)CC1,Z1785636081
Cc1ccccc1C(=O)N(Cc1ccccc1)CC(O)c1ccco1,Z1370991089
Cc1onc(N)c1S(=O)(=O)N1CCN(C(=O)CN(C)C)CC1,Z1981281875
O=C(NCC1(O)CCCc2ccccc21)c1c[nH]nc1-c1cccc(OC(F)F)c1,Z1281106955
COc1ccc2c(c1)C(NC(=O)C(C)S(=O)(=O)C1CCOCC1)CCC2,Z1488493675
CNCC1CCCN1S(=O)(=O)c1ccc(OC)c(F)c1C.Cl,Z1993809443
COc1cc(Cn2nnc3c(cnn3C)c2=O)ccc1OC(F)F,Z1376355787
Cc1cc(N2CCC(Oc3ccccn3)CC2)nc(-c2cccnc2)n1,Z1379875850
COc1ccc(C)cc1S(=O)(=O)N1CCCC(c2ncc[nH]2)C1,Z1998302966
COc1cccc(CC(C)NC(=O)N2CCC(C)C2CO)c1,Z1798778816
Cc1cc(CN(C)S(=O)(=O)c2cccc(C#N)c2)ccc1F,Z1883805484
Cc1ccc(-n2nc(C(=O)NC(C)c3ncn(C)n3)cc2C)cc1,Z1768065592
O=S(=O)(CCc1ccc2c(c1)CCO2)N(Cc1ccccn1)C1CC1,Z1888648772
Brc1ccc(-c2noc(-c3cccc(Nc4ncccn4)c3)n2)nc1,Z1890200846
CC(C)n1ncc2c(-c3nc(-c4cnc5cnccn45)no3)cc(-c3ccco3)nc21,Z1891237928
O=C(NCCCc1ccccc1)NC(CO)Cc1ccccc1,Z1779408934
CN1CCN(CC(=O)Nc2cccc(Cl)c2Cl)C(C)(C)C1=O,Z1395780545
COCCOc1cc(C)ccc1CNC(=O)N1CCN2CCCCC2C1,Z1396500171
O=C(CCc1ccccc1F)NCCc1nc(=O)o[nH]1,Z1928161144
CCN(C)C(=O)c1cccc(NC(=O)CN2C(=O)NC(=O)C2(C)C)c1,Z2100426490
COCc1ccccc1C(=O)Nc1cnc2c(c1)COCC2,Z1609103615
O=C(O)c1cccc(CC(=O)N2CC3CCC2C3)c1,Z1609478952
CC1CN(C(=O)Cc2cccc(C(=O)O)c2)C(C)(C)C1,Z1609486060
CC(C)n1cnnc1CN(C)C(=O)c1ccc[nH]1,Z2210206704
Cc1cc(C)n(-c2ccc(Cl)c(C(=O)N(C)C3CCN(C4CCN(C)CC4)C3)n2)n1,Z1182562802
COCC1(C(=O)N2CCN(C(=O)COc3cc(C)cc(C)c3)CC2)CC1,Z1619558224
Cc1n[nH]c(C)c1CC(=O)N1CCOC(C(C)C)C1,Z1619868091
O=C(CN1CCC(n2ccc(C(F)(F)F)n2)CC1)NCC1CCCCC1,Z1620046768
CCCC(C)(N)C(=O)Nc1ccc2nc(N3CCCC3)sc2c1,Z2434052853
Cc1cccc(-c2cncc(C(=O)N3CCNCC3)c2)c1,Z2464187688
Cc1ccc(CC2CCCN(C(=O)CCc3c(C)c4c(C)nn(C)c4[nH]c3=O)C2)cc1,Z960881436
COCCn1nnc2c1CCN(C(=O)c1cn(C)c3ccccc13)C2,Z2231371495
CCC1(C)NC(=O)N(CC(=O)N(C)C2CCN(Cc3ccccc3)CC2)C1=O,Z1192580661
O=C(Cn1c(=O)[nH]c2ccccc21)N1CCN(C2CCC2)CC1,Z1193051891
O=C(C(O)C(O)c1nc2ccccc2s1)N1CCC(Cc2ccccc2)C1,Z1625180943
Cc1cc(C(=O)N2CC=C(c3ccccc3)C2)c(C)n1C1CC1,Z1626769713
CNC(=O)c1ccc(C(=O)N2CCCCCC2c2noc(C)n2)cn1,Z1626890810
CNC(=O)NCC(=O)N1CCOCC1c1noc(-c2ccccc2)n1,Z1626869454
CCC1(CC)CN(C(=O)C2CCc3cn[nH]c3C2)C1,Z2231631064
Cn1nnnc1CNc1ccc(Cl)cc1C(=O)N1CCCC1,Z983470334
O=C(NCCNc1ccccn1)c1cccc(Cl)n1,Z981850416
